102,Taylor Voit,SO,University of St. Thomas,28:49.8
103,Peter Metzdorff,SR,Saint John's University,28:51.6
104,Brian Klein,JR,St. Olaf College,28:52.5
105,Sherm Moga,JR,Saint Mary's University,28:52.9
106,Andrew Berg,FR,Saint John's University,28:53.6
107,Daniel Zoltek,SO,Saint John's University,28:55.3
108,Dan Allen,FR,Saint John's University,28:56.2
109,Stuart Gordon,SO,St. Olaf College,28:56.3
110,Casey Halbmaier,JR,University of St. Thomas,28:58.1
111,Alex Kunz,JR,St. Olaf College,28:58.3
112,Ryan Turner,SO,Concordia-Moorhead,28:58.8
113,Ronnie Stimson,SR,Hamline University,29:01.2
114,Michael Nelson,SO,Saint John's University,29:01.6
115,Ryan Hanselman,SO,Carleton College,29:02.3
116,Spencer Nelson,JR,Macalester College,29:03.1
117,Kyle Mehrhof,FR,Hamline University,29:03.3
118,Nate Merrill,SO,Macalester College,29:03.6
119,Tanner Fliss,SR,Carleton College,29:05.1
120,Race Heitkamp,SR,Concordia-Moorhead,29:06.2
121,Tim Huss,FR,Bethel University,29:06.5
122,Chris Boranian,FR,Macalester College,29:08.7
123,Cole Konczal,SR,Hamline University,29:08.8
124,Jonah Shaw,SO,Carleton College,29:10.4
125,Brandon Quibell,SO,Concordia-Moorhead,29:12.5
126,Zac Meer,SR,St. Olaf College,29:13.2
127,Alex Fredrickson,JR,Gustavus Alolphus College,29:13.6
128,Tommy Rusco,SO,Hamline University,29:14.6
129,Grant Suttie,JR,University of St. Thomas,29:16.3
130,Alec Kirtley,FR,St. Olaf College,29:17.4
131,Zach Dietz,JR,Saint John's University,29:18.3
132,Chris Huss,JR,Augsburg College,29:18.5
133,Liam Getzloff,FR,St. Olaf College,29:19.7
134,Will Zimmerman,SO,Saint John's University,29:19.8
135,Nick Rethemeier,SO,Saint John's University,29:21.2
136,Syver Johansen,SO,St. Olaf College,29:21.8
137,Ibrahim Barqadle,SO,Augsburg College,29:22.3
138,Kevin Lamb,FR,Saint John's University,29:25.8
139,Austin Knowlton,JR,University of St. Thomas,29:25.8
140,Nolan Ebner,SO,Macalester College,29:27.6
141,John Surber,JR,Gustavus Alolphus College,29:28.2
142,Jake Kirsch,FR,Saint John's University,29:30.2
143,Thomas Bissen,FR,St. Olaf College,29:32.9
144,Quad Kilander,SR,Gustavus Alolphus College,29:33.1
145,Spencer Grant,FR,Macalester College,29:34.6
146,Justin Brecheisen,FR,Bethel University,29:35.7
147,James Mathison,FR,Saint John's University,29:36.4
148,Iain McCrory,JR,Gustavus Alolphus College,29:36.5
149,Matthew Lillehaugen,JR,Concordia-Moorhead,29:39.7
150,Joey Chmelik,SO,St. Olaf College,29:40.2
151,Dan Buchmeier,SO,St. Olaf College,29:40.2
152,Ryan Trapp,JR,University of St. Thomas,29:40.6
153,Charlie Jones,JR,University of St. Thomas,29:42.9
154,Chase Graff,FR,University of St. Thomas,29:43.9
155,Luke Erickson,JR,Augsburg College,29:44.5
156,Nathan Libra,SO,Saint John's University,29:46.2
157,Tyler Stordahl,FR,Gustavus Alolphus College,29:47.9
158,Michael Wegter,SO,St. Olaf College,29:48.5
159,Jeremy Storvick,SO,St. Olaf College,29:49.6
160,Derek Deblieck,SO,St. Olaf College,29:50.1
161,Andy Rudberg,SO,St. Olaf College,29:50.9
162,Chris Covert,FR,Hamline University,29:51.4
163,Ryan Garrett,SO,University of St. Thomas,29:51.7
164,Emmett Haberman,SO,Gustavus Alolphus College,29:52.5
165,Andrew Etteldorf,JR,Carleton College,29:54.6
166,Sam Richmond,FR,Macalester College,29:54.6
167,Alex Schneider,FR,Carleton College,29:56.9
168,Nate Webster,JR,St. Olaf College,30:02.2
169,Gabe Coleman,JR,St. Olaf College,30:03.3
170,Nathan Hanson,JR,Gustavus Alolphus College,30:03.7
171,Robert Nelson,FR,Gustavus Alolphus College,30:03.8
172,Taylor Huffman,SO,Bethel University,30:06.7
173,Nick Dea,FR,St. Olaf College,30:06.9
174,Zach Gilfix,SR,Macalester College,30:10.4
175,Kyle Becker,FR,Saint John's University,30:16.3
176,Chris Lagergren,SR,Hamline University,30:20.3
177,Luke Lillehaugen,FR,Concordia-Moorhead,30:21.6
178,Evan Kendall,JR,St. Olaf College,30:21.7
179,Paul Kirk-Davidoff,SO,Carleton College,30:22.0
180,Dylan Lasron-Harsch,FR,Carleton College,30:22.2
181,Ahmed Nur,SR,Augsburg College,30:24.1
182,Mitchell Miller,SO,St. Olaf College,30:24.2
